@relation performance-counters

@attribute BRANCH_INSTRUCTIONS_RETIRED numeric
@attribute CACHE-REFERENCES numeric
@attribute CYCLES numeric
@attribute INSTRUCTION_RETIRED numeric
@attribute INSTRUCTIONS numeric
@attribute LLC_MISSES numeric
@attribute LLC_REFERENCES numeric
@attribute MAJOR-FAULTS numeric
@attribute MINOR-FAULTS numeric
@attribute MISPREDICTED_BRANCH_RETIRED numeric
@attribute UNHALTED_CORE_CYCLES numeric
@attribute UNHALTED_REFERENCE_CYCLES numeric
@attribute class {M0,M1,M2,M3}

@data
34812715,906679,85008711,161753337,155290682,108224,980629,0,192,427041,111596567,163,M0
38581638,940889,93701541,162012031,169453374,110057,927841,0,193,218325,112844399,151,M0
70228112,1013994,104941762,161797691,196566358,107277,752739,0,345,229592,129259077,234,M0
35856294,914811,92555965,155073286,162344428,103458,904284,0,304,235332,108582546,158,M0
38693278,967946,98447338,170540019,176417920,105851,971885,0,368,237716,116819947,170,M0
34572440,891894,84707595,151297580,151219290,105546,1028898,0,323,453701,104837193,173,M0
38108078,912444,90201991,165881714,162417782,98354,938280,0,341,220745,112383588,141,M0
37530914,961620,90371809,170545473,165685390,111848,1056462,0,362,452208,116857620,187,M0
60218876,933775,92868137,137410417,169802692,101304,955882,0,324,211525,117647406,158,M0
34512442,840040,86715817,148191196,149046969,110673,934523,0,157,247893,101515756,171,M0
120253422,1107698,226632498,551596303,551715711,287428,549251,0,12,235786,141533934,13,M1
123308051,570866,232207267,284238854,567645880,609340,571660,0,12,226523,145822073,6,M1
121895797,556260,232386826,281947516,282089101,632722,1114464,0,13,214324,144985757,13,M1
122711133,1134963,231967376,282780569,565114820,312546,571874,0,11,227450,145237960,6,M1
122452287,575041,230565502,281440239,281166847,629187,1125533,0,12,229879,144187902,13,M1
120871375,563009,229610895,280579995,560917832,595228,557314,0,12,225677,143670813,6,M1
121919632,1124090,235471156,572836480,287071914,325173,1119014,0,12,236648,147326957,13,M1
61052521,1132192,234252198,285344474,572003982,319804,562661,0,13,218381,291801211,13,M1
121657519,1122834,225984059,277724154,554423265,291352,559707,0,11,240737,141528133,6,M1
101481794,591649,237530695,467911913,291267294,691938,927263,0,12,230104,297505059,14,M1
123089098,574619,232460267,566199325,282900099,648658,1130660,0,13,220616,145490449,6,M1
122081387,556301,230061161,280920754,559462615,638282,570387,0,13,217729,144521581,6,M1
119426661,555328,231009537,277519412,278189366,634834,1097989,0,12,215876,144028735,13,M1
61773208,1119474,230860363,282406698,564148959,317563,563094,0,12,219869,289308175,6,M1
122577438,1126388,237395622,288810494,577009218,325762,564423,0,13,245494,149034930,7,M1
124633423,577941,235101299,572316204,287325853,651915,1149684,0,13,244806,146843106,13,M1
60566730,1107394,230975186,281236471,562127182,325708,555282,0,12,226867,288657586,6,M1
61306815,568222,233412630,283450589,566446193,647476,574242,0,13,223974,291852533,6,M1
61526104,570027,231754663,564101346,564291320,634050,573006,0,13,225641,289186203,13,M1
59782057,1086227,229271192,553808858,554582303,302637,545711,0,11,210496,285951250,13,M1
124272822,579179,236257182,288892714,288877224,666185,1144340,0,11,254346,147589640,13,M1
125524880,1147000,233992668,573504969,287229512,330201,1153747,0,11,230151,146391031,13,M1
121087283,545640,227661737,559641715,279168282,598596,1108184,0,12,222384,142530871,13,M1
123645573,575338,232720753,454734233,567792464,331045,909674,0,11,219733,232094164,13,M1
60475663,1098015,232228477,567055713,284196272,307184,1113986,0,12,218090,289673218,13,M1
121940443,566631,231433845,282487423,566297167,613248,561266,0,12,221366,144497553,6,M1
117620743,544510,226839447,274603748,273708344,581690,1099830,0,12,219058,142183100,6,M1
125237168,581491,235773272,287275601,287683623,659738,1157874,0,12,222190,147294092,13,M1
122979521,573238,232678661,564809606,282961432,632168,1124049,0,12,227680,144537453,13,M1
121966763,562507,234019459,283987276,566740630,640854,555293,0,12,219303,146579099,6,M1
122539977,566434,236422724,457474112,286448769,649791,910355,0,11,221375,235309580,13,M1
62459355,1151824,234444254,571648399,570647874,328163,574573,0,13,221863,293512677,6,M1
60326984,1087127,228271493,555015971,554398849,291562,559225,0,12,217929,285760651,6,M1
61996717,1141901,236156008,286717281,573970438,337130,571460,0,11,227871,294931888,7,M1
61073271,1122316,228241786,560047107,559434509,312011,568869,0,12,244068,285461038,13,M1
62203340,572553,236447530,571434188,287025655,652126,1133068,0,12,240700,294018880,13,M1
60704449,1130943,231414911,282395612,562613170,319336,570451,0,11,222261,290397132,6,M1
123300050,568537,234679393,286341617,286328715,655412,1133057,0,11,225827,146675147,13,M1
123540071,568554,230331915,566270695,281566289,629610,1138413,0,12,238431,145023885,13,M1
61874020,1138455,234980630,287568566,574272240,337762,573506,0,12,222365,294324640,6,M1
125888895,1156918,237374137,288308195,576445871,346335,578318,0,13,245555,148474594,13,M1
122438518,572277,230942475,283793650,567541320,640068,569003,0,13,223525,144561612,6,M1
125494323,580436,235022635,572783183,575871134,648258,573808,0,13,236157,146550553,6,M1
62440292,1124919,233130224,570283271,567913393,338452,577506,0,12,231679,292028407,6,M1
